M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
M,0.645,0.5,0.19,1.229,0.524,0.278,0.395,17
M,0.605,0.485,0.175,1.145,0.4325,0.27,0.405,16
M,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5
M,0.4,0.31,0.11,0.314,0.138,0.057,0.1,11
M,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,9
M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16
M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7
M,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,4
M,0.345,0.265,0.09,0.163,0.0615,0.037,0.0485,10
M,0.43,0.33,0.095,0.34,0.1315,0.085,0.112,14
M,0.415,0.32,0.1,0.3005,0.1215,0.0575,0.104,11
M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035,5
M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09,9
M,0.41,0.3,0.1,0.301,0.124,0.069,0.09,9
M,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,11
M,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5
M,0.455,0.345,0.125,0.44,0.169,0.1065,0.135,12
M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
M,0.54,0.405,0.155,0.9715,0.3225,0.194,0.29,19
M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8
M,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325,19
M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14
M,0.515,0.4,0.125,0.955,0.341,0.2535,0.26,13
M,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,18
M,0.74,0.535,0.185,1.65,0.734,0.4505,0.335,13
M,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33,16
M,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26,10
M,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13
M,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,19
M,0.575,0.435,0.13,1.0105,0.368,0.222,0.32,10
M,0.62,0.48,0.16,1.0765,0.412,0.253,0.3,13
M,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,18
M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,9
M,0.53,0.43,0.135,0.879,0.28,0.2165,0.25,10
M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18
M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13
M,0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,8
M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185,9
M,0.56,0.45,0.14,0.9,0.472,0.182,0.218,7
M,0.58,0.46,0.15,1.0165,0.491,0.221,0.265,9
M,0.59,0.47,0.135,1.1685,0.539,0.279,0.28,8
M,0.6,0.475,0.15,1.089,0.5195,0.223,0.292,11
M,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,9
M,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,10
M,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,13
M,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13
M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8
M,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,7
M,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,7
M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8
M,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,9
M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8
M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9
M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,11
M,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10
M,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,9
M,0.66,0.525,0.18,1.478,0.5815,0.381,0.372,10
M,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10
M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8
M,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,8
M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8
M,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,8
M,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,8
M,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10
