M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15
M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10
M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10
M,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,10
M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11
M,0.655,0.515,0.16,1.31,0.553,0.369,0.345,11
M,0.665,0.525,0.16,1.363,0.629,0.279,0.34,8
M,0.685,0.52,0.165,1.519,0.699,0.3685,0.4,10
M,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12
M,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,10
M,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9
M,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12
M,0.715,0.55,0.19,2.0045,1.0465,0.407,0.5075,12
M,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,10
M,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8
M,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12
M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11
M,0.745,0.565,0.215,1.931,0.896,0.4585,0.5,11
M,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10
M,0.495,0.395,0.12,0.553,0.224,0.1375,0.167,8
M,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9
M,0.525,0.42,0.155,0.842,0.428,0.1415,0.2045,9
M,0.535,0.435,0.15,0.717,0.3475,0.1445,0.194,9
M,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9
M,0.555,0.44,0.14,0.8705,0.407,0.156,0.255,9
M,0.565,0.445,0.15,0.796,0.3635,0.184,0.219,8
M,0.565,0.39,0.125,0.744,0.352,0.13,0.1685,11
M,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10
M,0.57,0.435,0.125,0.8965,0.383,0.1835,0.275,9
M,0.575,0.46,0.155,0.892,0.4415,0.176,0.22,10
M,0.58,0.46,0.155,1.4395,0.6715,0.273,0.2955,10
M,0.58,0.455,0.135,0.7955,0.405,0.167,0.204,10
M,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9
M,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,10
M,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274,10
M,0.585,0.47,0.165,1.409,0.8,0.229,0.295,10
M,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10
M,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,8
M,0.59,0.47,0.18,1.187,0.5985,0.227,0.31,9
M,0.59,0.455,0.155,0.8855,0.388,0.188,0.275,10
M,0.6,0.475,0.17,1.1315,0.508,0.272,0.309,10
M,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11
M,0.6,0.46,0.155,0.9595,0.4455,0.189,0.295,11
M,0.605,0.49,0.14,0.9755,0.419,0.206,0.315,10
M,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,10
M,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,12
M,0.61,0.475,0.17,1.0265,0.435,0.2335,0.3035,10
M,0.61,0.48,0.17,1.137,0.4565,0.29,0.347,10
M,0.61,0.46,0.16,1.0,0.494,0.197,0.275,10
M,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10
M,0.615,0.5,0.17,1.054,0.4845,0.228,0.295,10
M,0.615,0.475,0.17,1.129,0.4795,0.302,0.3,10
M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,9
M,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,10
M,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
M,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,9
M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,12
M,0.63,0.495,0.16,1.093,0.497,0.221,0.315,12
M,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,10
M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10
M,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10
M,0.64,0.565,0.23,1.521,0.644,0.372,0.406,15
M,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,10
M,0.645,0.51,0.16,1.1835,0.556,0.2385,0.345,11
M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10
M,0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,11
M,0.65,0.525,0.175,1.5365,0.6865,0.3585,0.405,11
M,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,9
M,0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,13
M,0.655,0.49,0.175,1.3585,0.6395,0.294,0.365,10
M,0.675,0.545,0.185,1.7375,0.876,0.3135,0.469,13
M,0.685,0.545,0.205,1.7925,0.8145,0.416,0.461,9
M,0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,10
M,0.705,0.555,0.215,2.141,1.0465,0.383,0.528,11
M,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,12
M,0.415,0.315,0.115,0.3895,0.2015,0.065,0.103,9
M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8
M,0.45,0.335,0.125,0.4475,0.2165,0.126,0.11,6
M,0.475,0.37,0.125,0.649,0.347,0.136,0.142,8
M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
M,0.485,0.37,0.13,0.526,0.2485,0.105,0.1555,6
M,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9
M,0.515,0.425,0.145,0.9365,0.497,0.181,0.2185,8
M,0.52,0.4,0.125,0.559,0.254,0.139,0.149,8
M,0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
M,0.53,0.4,0.125,0.7575,0.398,0.151,0.175,8
M,0.55,0.425,0.16,0.793,0.343,0.2035,0.215,9
M,0.57,0.445,0.15,0.9875,0.504,0.207,0.249,8
